
BlockPath,BlockType,ParamContext,ParamName,ParamValue
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),Inport,,Position,"[110, 123, 140, 137]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),Inport,,ZOrder,-1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),Inport,PortProperties/Port[out:1],Name,mp
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),Inport,PortProperties/Port[out:1],PropagatedSignals,Payload mass (kg)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Location (m),Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Location (m),Inport,,Position,"[110, 263, 140, 277]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Location (m),Inport,,ZOrder,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Location (m),Inport,,Port,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Location (m),Inport,PortProperties/Port[out:1],Name,rp
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Location (m),Inport,PortProperties/Port[out:1],PropagatedSignals,Location of payload (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Gravity (m/s2),Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Gravity (m/s2),Inport,,Position,"[110, 973, 140, 987]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Gravity (m/s2),Inport,,ZOrder,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Gravity (m/s2),Inport,,Port,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Gravity (m/s2),Inport,PortProperties/Port[out:1],Name,g
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Gravity (m/s2),Inport,PortProperties/Port[out:1],PropagatedSignals,Gravity (m/s2)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Water Density (kg/m3),Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Water Density (kg/m3),Inport,,Position,"[110, 158, 140, 172]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Water Density (kg/m3),Inport,,ZOrder,7
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Water Density (kg/m3),Inport,,Port,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Water Density (kg/m3),Inport,PortProperties/Port[out:1],Name,rho
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Water Density (kg/m3),Inport,PortProperties/Port[out:1],PropagatedSignals,Water Density (kg/m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Speed (m/s),Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Speed (m/s),Inport,,Position,"[110, -12, 140, 2]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Speed (m/s),Inport,,ZOrder,416
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Speed (m/s),Inport,,Port,5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Speed (m/s),Inport,PortProperties/Port[out:1],PropagatedSignals,Current speed (m/s)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Direction (rad),Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Direction (rad),Inport,,Position,"[110, 23, 140, 37]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Direction (rad),Inport,,ZOrder,415
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Direction (rad),Inport,,Port,6
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Current Direction (rad),Inport,PortProperties/Port[out:1],PropagatedSignals,Current direction (rad)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/X,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/X,Inport,,Position,"[110, 58, 140, 72]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/X,Inport,,ZOrder,420
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/X,Inport,,Port,7
